41552,IA002015002017001007000000000000000000,6,10969,Balancesheet,Yes,No,"Assets:Non-current Assets:Property, Plant and Equipment:Revaluation:Community Assets:Cost:Disposals",Disposals,39425,1,NULL,2,NULL,2,NULL,1,NULL,N/a,ITEM,6,NULL,N/a,All,NULL,74FEFF63-93ED-45A7-92D7-A761E8915C96,0445B3D6-BB6F-4484-87B9-7FADD42DDAE4,"This account is used to record disposals of property, plant and equipment through sales, by entering into a finance lease or through a non-exchange transaction during the period.",1,v69,NULL
115,IA002015001010001001008000000000000000,7,9184,Balancesheet,Yes,No,"Assets:Non-current Assets:Property, Plant and Equipment:Cost Model:Computer Equipment:In-use:Cost:Transfers Made",Transfers Made,35395,1,NULL,1,NULL,2,NULL,1,NULL,N/a,ITEM,7,NULL,N/a,All,NULL,6C190487-9E65-41E0-87FA-A34B4345172B,63136458-BC53-4089-8DC9-4F62EA48F00D,Transfers made credited to this account that decreases the asset in the accounting period.,1,v69,NULL
138,IA002015001009001001005000000000000000,7,9108,Balancesheet,Yes,No,"Assets:Non-current Assets:Property, Plant and Equipment:Cost Model:Furniture and Office Equipment:In-use:Cost:Change in Accounting Policy",Change in Accounting Policy,37067,1,NULL,1,NULL,2,NULL,1,NULL,N/a,ITEM,7,NULL,N/a,All,NULL,EAC2C297-0BF6-4CAB-B681-0CD029E4BCC6,CA349FD3-D473-4345-96BB-32C99C6B93DC,"This account should be used for recording changes in the accounting policy initially adopted by the municipality in accordance with GRAP 3 - Accounting Policies, Changes in Accounting Estimates and Errors.",1,v69,NULL
12873,IZ006005014000000000000000000000000000,3,145,Revenue_IGL,Yes,No,"Gains and Losses:Reversal of Impairment Loss:Property, Plant and Equipment:Transport Assets",Transport Assets,12823,2,NULL,1,NULL,2,NULL,0,NULL,N/a,ITEM,3,NULL,N/a,All,NULL,186323E7-F340-4A87-B337-A876E394D231,33FC7E86-42D4-4693-BFB6-5B0C955567D7,Reversal of impairment losses recognised in surplus/deficit in accordance with the Standards of GRAP on Impairment of Non-cash-generating Assets and Impairment of Cash-generating Asset.,1,v69,NULL
39794,IA001001002006004003000000000000000000,6,1438,Balancesheet,Yes,No,Assets:Current Assets:Cash and Cash Equivalents:Call Deposits and Investments:Deposit taking Institutions:EPWP:Withdrawals,Withdrawals,38082,1,NULL,1,NULL,2,NULL,1,NULL,N/a,ITEM,6,NULL,N/a,All,NULL,50A4BA33-0887-43AC-9E1A-B0DC9DCD2A3B,ACA489A4-5AFA-4231-BA89-5CC6696B6A73,Withdrawals credited to the account that decreases assets within the accounting period.,1,v69,NULL
15011,IZ005005008000000000000000000000000000,3,108,Revenue_IGL,Yes,No,"Gains and Losses:Impairment Loss:Property, Plant and Equipment:Roads Infrastructure",Roads Infrastructure,12843,2,NULL,1,NULL,2,NULL,0,NULL,N/a,ITEM,3,NULL,N/a,All,NULL,82715669-B703-4423-8CC7-D174C26998C3,65A53046-11BB-4B7F-9C55-1AC7055C7F76,"Impairment is a loss in the future economic benefits or service potential of an asset, over and above the systematic recognition of the loss of the asset's future economic benefits or service potential through depreciation (amortisation)",1,v69,NULL
15034,IZ002004001001000000000000000000000000,4,23,Revenue_IGL,Yes,No,"Gains and Losses:Disposal of Fixed and Intangible Assets:Property, Plant and Equipment:Computer Equipment:Gains",Gains,12881,2,NULL,1,NULL,2,NULL,0,NULL,N/a,ITEM,4,NULL,N/a,All,NULL,5A65B847-3E23-40AD-9C2C-585D47E94F0A,FD510F3B-DF22-4D3A-A9A2-657F48658CEE,"The gain or loss arising from the derecognition of an asset determined as the difference between the net disposal proceeds, if any, and the carrying amount of the item.",1,v69,NULL
38297,IA001004004008002000000000000000000000,5,2159,Balancesheet,Yes,No,Assets:Current Assets:Receivables from Non-exchange Transactions:Fines:Impairment Fines:Recognised,Recognised,33383,1,NULL,1,NULL,2,NULL,1,NULL,N/a,ITEM,5,NULL,N/a,All,NULL,66097F80-D954-4048-B11E-58F2DF8E2C2E,DB8CAA41-4F33-4308-82BB-A3BFF837F5B3,Adjustment of impairment recognised in surplus and deficit.  See gains and losses.,1,v69,NULL
41623,IA002015002018001003000000000000000000,6,10990,Balancesheet,Yes,No,"Assets:Non-current Assets:Property, Plant and Equipment:Revaluation:Other Assets:Cost:Revaluation",Revaluation,39434,1,NULL,1,NULL,2,NULL,1,NULL,N/a,ITEM,6,NULL,N/a,All,NULL,A9C0CED4-46B9-4AD6-9B52-82246369EACD,C97CDC98-C49D-499F-9783-CD8BF462A9D6,Revaluation adjustment,0,v69,NULL
33457,IA001010003005008001000000000000000000,6,2485,Balancesheet,Yes,No,Assets:Current Assets:Trade and other Receivables from Exchange Transactions:Trading Service and Customer Service Debtors:Waste Management:Impairment:Opening Balance,Opening Balance,4162,1,NULL,1,NULL,2,NULL,1,NULL,N/a,ITEM,6,NULL,N/a,All,NULL,AF54A70E-669C-4066-9750-0C60B30CF941,00D246B3-C413-4617-BFBA-07C2287EBF7F,The balance brought forward from the previous accounting period to the current accounting period,1,v69,NULL
