104,Basic Charge Waste Disposal,1,1,2014-05-05 11:15:06.000,NULL,NULL,5,2
105,Basic Charge Sanitation,1,1,2014-05-05 11:15:06.000,NULL,NULL,6,2
106,Basic Charge Vacuum Tank,1,1,2014-05-05 11:15:06.000,NULL,NULL,7,2
107,Instalment (Property),1,1,2014-05-05 11:15:06.000,NULL,NULL,8,2
108,Flat Rate – Water,1,1,2014-05-05 11:15:06.000,NULL,NULL,9,2
109,Flat Rate - Electricity,1,1,2014-05-05 11:15:06.000,NULL,NULL,10,2
110,Billing Interest,1,1,2014-05-05 11:15:06.000,NULL,NULL,11,2
111,Metered – Water,1,1,2014-05-05 11:15:06.000,NULL,NULL,12,2
112,Metered – Water Prepaid,1,1,2014-05-05 11:15:06.000,NULL,NULL,13,2
113,Metered – Electricity,1,1,2014-05-05 11:15:06.000,NULL,NULL,14,2
114,Metered – Electricity Prepaid,1,1,2014-05-05 11:15:06.000,NULL,NULL,15,2
115,Metered – Vacuum Tank,1,1,2014-05-05 11:15:06.000,NULL,NULL,16,2
116,Billing Sundry Charges,1,1,2014-05-05 11:15:06.000,NULL,NULL,17,2
117,Sanitation Effluent,1,1,2014-05-05 11:15:06.000,NULL,NULL,18,2
118,Additional Billing,1,1,2014-05-05 11:15:06.000,NULL,NULL,19,2
119,Valuation Rebate,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,2
121,Inventory High Value,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,14
122,Inventory Received Water,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,14
123,SCM GRN,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,9
124,SCM Invoice,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,9
125,SCM Credit Note,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,9
126,SCM Debit Note,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,9
127,SCM Quotation,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,9
128,SCM Tender,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,9
129,SCM Contract,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,9
130,SCM Order,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,9
131,Payroll Normal Journal,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,0
132,Payroll Invoice,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,3
133,Nett Salaries,1,1,2014-05-05 11:15:06.000,NULL,NULL,NULL,3
134,Work Permit,1,2,2015-09-11 00:00:00.000,NULL,NULL,NULL,3
137,Passport,1,2,2015-09-11 00:00:00.000,NULL,NULL,NULL,3
138,Other,1,2,2015-09-11 00:00:00.000,NULL,NULL,NULL,1
139,Inventory Receive,1,1,2015-11-26 00:00:00.000,NULL,NULL,0,14
140,Inventory Valuation,1,1,2016-03-01 13:33:24.947,NULL,NULL,NULL,14
141,Opening Balance Ledger,1,1,2016-12-09 13:59:55.080,NULL,NULL,NULL,0
142,Closing Balance Ledger,1,1,2016-12-09 13:59:55.080,NULL,NULL,NULL,0
143,Billing Bad Debt Provision,1,1,2016-05-23 11:30:46.457,NULL,NULL,NULL,2
