AssetOwnership_ID,AssetOwnershipDesc,Enabled,DateCaptured,CapturerID,DateModified,ModifierID
1,Owned,1,2013-09-20 15:23:50.110,1,NULL,NULL
2,Leased,1,2013-09-20 15:24:03.620,1,NULL,NULL
