37418,IA001006014003000000000000000000000000,Transfers,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74247,IA001006014003000000000000000000000000,0,NULL,IA001006014003000000000000000000000000,NULL,NULL,NULL,NULL
37419,IA001006014004000000000000000000000000,Collections,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74248,IA001006014004000000000000000000000000,0,NULL,IA001006014004000000000000000000000000,NULL,NULL,NULL,NULL
37420,IA001006014005000000000000000000000000,Unidentified deductions from bank account,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74249,IA001006014005000000000000000000000000,0,NULL,IA001006014005000000000000000000000000,NULL,NULL,NULL,NULL
37421,IA001006015002000000000000000000000000,Charges,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74251,IA001006015002000000000000000000000000,0,NULL,IA001006015002000000000000000000000000,NULL,NULL,NULL,NULL
37422,IA001006015003000000000000000000000000,Refunds,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74252,IA001006015003000000000000000000000000,0,NULL,IA001006015003000000000000000000000000,NULL,NULL,NULL,NULL
37423,IA001008002000000000000000000000000000,Recognised,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74257,IA001008002000000000000000000000000000,0,NULL,IA001008002000000000000000000000000000,NULL,NULL,NULL,NULL
37424,IA001009001002000000000000000000000000,Acquisitions,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74260,IA001009001002000000000000000000000000,0,NULL,IA001009001002000000000000000000000000,NULL,NULL,NULL,NULL
37425,IA001009001003000000000000000000000000,Issues,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74261,IA001009001003000000000000000000000000,0,NULL,IA001009001003000000000000000000000000,NULL,NULL,NULL,NULL
37426,IA001009002001002000000000000000000000,Acquisitions,1,2025/2026,1,2025-06-27 14:41:21.147,194,2025-10-02 10:19:11.937,5,1,1,74265,IA001009002001002000000000000000000000,NULL,NULL,IA001009002001002000000000000000000000,NULL,3,NULL,NULL
37427,IA001009002001003000000000000000000000,Issues,1,2025/2026,1,2025-06-27 14:41:21.147,NULL,NULL,NULL,1,1,74266,IA001009002001003000000000000000000000,0,NULL,IA001009002001003000000000000000000000,NULL,NULL,NULL,NULL
