1,Investment property,1,2020-01-28 15:21:21.310,1,NULL,NULL,1
2,"Property, plant and equipment",1,2020-01-28 15:21:21.310,1,NULL,NULL,1
3,Intangible assets,1,2020-01-28 15:21:21.310,1,NULL,NULL,1
4,Heritage assets,1,2020-01-28 15:21:21.310,1,NULL,NULL,1
5,Construction Work-in-progress,1,2022-06-07 12:38:34.550,251,2024-12-11 12:49:07.760,196,0
