Room_ID,RoomDesc,FloorID,DateCaptured,CapturerID,DateModified,ModifierID,Enabled
2,R0054,2,2021-06-08 14:45:17.650,199,NULL,NULL,1
3,R0055,2,2021-06-08 14:45:27.130,199,NULL,NULL,1
4,R0056,2,2021-06-08 14:45:52.907,199,NULL,NULL,1
5,R0057,2,2021-06-08 14:46:04.807,199,NULL,NULL,1
6,R0058,2,2021-06-08 14:46:26.910,199,NULL,NULL,1
7,R0059,2,2021-06-08 14:46:42.310,199,NULL,NULL,1
8,R0060,2,2021-06-08 14:46:58.977,199,NULL,NULL,1
9,R0061,2,2021-06-08 14:47:09.280,199,NULL,NULL,1
10,R0062,2,2021-06-08 14:47:31.610,199,NULL,NULL,1
11,R0219,5,2021-06-08 14:48:13.897,199,NULL,NULL,1
12,R0249,5,2021-06-08 14:48:37.023,199,NULL,NULL,1
13,R0250,5,2021-06-08 14:48:46.113,199,NULL,NULL,1
14,R0182,8,2021-06-08 14:49:08.667,199,NULL,NULL,1
15,R0183,8,2021-06-08 14:49:22.800,199,NULL,NULL,1
16,R0184,8,2021-06-08 14:49:49.200,199,NULL,NULL,1
17,R0185,8,2021-06-08 14:50:02.850,199,NULL,NULL,1
18,R0186,8,2021-06-08 14:50:20.837,199,NULL,NULL,1
19,R0188,11,2021-06-08 14:50:47.197,199,NULL,NULL,1
20,R0189,11,2021-06-08 14:50:56.267,199,NULL,NULL,1
21,R0190,11,2021-06-08 14:51:20.307,199,NULL,NULL,1
22,R0191,11,2021-06-08 14:51:29.107,199,NULL,NULL,1
23,R0192,11,2021-06-08 14:51:48.667,199,NULL,NULL,1
24,R0193,11,2021-06-08 14:51:59.520,199,NULL,NULL,1
25,R0001,14,2021-06-08 14:52:27.420,199,NULL,NULL,1
26,R0002,14,2021-06-08 14:52:36.903,199,NULL,NULL,1
27,R0003,14,2021-06-08 14:52:54.063,199,NULL,NULL,1
28,R0004,14,2021-06-08 14:53:03.720,199,NULL,NULL,1
29,R0005,14,2021-06-08 14:53:22.673,199,NULL,NULL,1
30,R0006,14,2021-06-08 14:53:30.910,199,NULL,NULL,1
31,R0007,14,2021-06-08 14:53:46.967,199,NULL,NULL,1
32,R0008,14,2021-06-08 14:53:57.737,199,NULL,NULL,1
33,R0009,14,2021-06-08 14:54:18.590,199,NULL,NULL,1
34,R0010,14,2021-06-08 14:54:27.020,199,NULL,NULL,1
35,R0011,14,2021-06-08 14:54:46.930,199,NULL,NULL,1
36,R0012,14,2021-06-08 14:54:57.200,199,NULL,NULL,1
37,R0013,14,2021-06-08 14:55:18.983,199,NULL,NULL,1
38,R0014,14,2021-06-08 14:55:28.297,199,NULL,NULL,1
39,R0015,14,2021-06-08 14:55:45.850,199,NULL,NULL,1
40,R0016,14,2021-06-08 14:55:55.813,199,NULL,NULL,1
41,R0017,14,2021-06-08 14:56:19.250,199,NULL,NULL,1
42,R0018,14,2021-06-08 14:56:29.390,199,NULL,NULL,1
43,R0019,14,2021-06-08 14:56:50.157,199,NULL,NULL,1
44,R0020,14,2021-06-08 14:56:58.610,199,NULL,NULL,1
45,R0021,14,2021-06-08 14:57:21.633,199,NULL,NULL,1
46,R0022,14,2021-06-08 14:57:30.150,199,NULL,NULL,1
47,R0023,14,2021-06-08 14:57:52.130,199,NULL,NULL,1
48,R0024,14,2021-06-08 14:58:01.117,199,NULL,NULL,1
49,R0025,14,2021-06-08 14:58:23.813,199,NULL,NULL,1
50,R0026,14,2021-06-08 14:58:32.653,199,NULL,NULL,1
51,R0027,14,2021-06-08 14:58:52.503,199,NULL,NULL,1
52,R0028,14,2021-06-08 14:59:00.977,199,NULL,NULL,1
53,R0029,14,2021-06-08 14:59:30.430,199,NULL,NULL,1
54,R0030,14,2021-06-08 14:59:39.790,199,NULL,NULL,1
55,R0031,14,2021-06-08 15:00:06.267,199,NULL,NULL,1
56,R0032,14,2021-06-08 15:00:15.273,199,NULL,NULL,1
57,R0033,14,2021-06-08 15:00:40.337,199,NULL,NULL,1
58,R0035,14,2021-06-08 15:00:50.250,199,NULL,NULL,1
59,R0036,14,2021-06-08 15:00:58.257,199,NULL,NULL,1
