AssetCIDMSSubComponentTypeID,AssetCIDMSSubComponentTypeDesc,AssetCIDMSComponentTypeID,Infrastructure,Nature,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Default
62,Portable Drive,330,1,1,1,2021-05-07 17:39:13.713,199,NULL,NULL,NULL
63,Post Box,331,1,1,1,2021-05-07 17:39:35.827,199,NULL,NULL,NULL
64,Printer,332,1,1,1,2021-05-07 17:39:55.597,199,NULL,NULL,NULL
65,Projector,333,1,1,1,2021-05-07 17:40:23.143,199,NULL,NULL,NULL
66,Rack Server,334,1,1,1,2021-05-07 17:40:44.377,199,NULL,NULL,NULL
67,Recorder,335,1,1,1,2021-05-07 17:41:10.683,199,NULL,NULL,NULL
68,Roof rack,336,1,1,1,2021-05-07 17:41:33.037,199,NULL,NULL,NULL
69,Router,337,1,1,1,2021-05-07 17:43:22.260,199,NULL,NULL,NULL
70,Safe,338,1,1,1,2021-05-07 17:43:45.587,199,NULL,NULL,NULL
71,Screen,339,1,1,1,2021-05-07 17:44:07.067,199,NULL,NULL,NULL
72,Screen Divider,340,1,1,1,2021-05-07 17:44:27.460,199,NULL,NULL,NULL
73,Seater,341,1,1,1,2021-05-07 17:44:50.373,199,NULL,NULL,NULL
74,Server,342,1,1,1,2021-05-07 17:45:12.037,199,NULL,NULL,NULL
75,Shelf,343,1,1,1,2021-05-07 17:45:35.007,199,NULL,NULL,NULL
76,Shelving,344,1,1,1,2021-05-07 17:45:56.107,199,NULL,NULL,NULL
77,Shredder,345,1,1,1,2021-05-07 17:46:18.497,199,NULL,NULL,NULL
78,Speaker,346,1,1,1,2021-05-07 17:46:42.150,199,NULL,NULL,NULL
79,Speaker Stand,347,1,1,1,2021-05-07 17:47:05.857,199,NULL,NULL,NULL
80,Speed Measuring Intrument,348,1,1,1,2021-05-07 17:47:30.310,199,NULL,NULL,NULL
81,Speed Trapper,349,1,1,1,2021-05-07 17:47:53.797,199,NULL,NULL,NULL
82,Stand,350,1,1,1,2021-05-07 17:48:18.877,199,NULL,NULL,NULL
83,Suggestion Box,351,1,1,1,2021-05-07 17:48:44.173,199,NULL,NULL,NULL
84,Switch,352,1,1,1,2021-05-07 17:49:08.007,199,NULL,NULL,NULL
85,Switchboard,353,1,1,1,2021-05-07 17:49:31.077,199,NULL,NULL,NULL
86,Table,354,0,1,1,2021-05-07 17:49:51.460,199,2023-03-16 11:53:12.927,271,NULL
87,Tender Box,355,1,1,1,2021-05-07 17:50:22.800,199,NULL,NULL,NULL
88,Tennis Table,356,1,1,1,2021-05-07 17:50:45.047,199,NULL,NULL,NULL
89,Trunk,357,1,1,1,2021-05-07 17:51:08.220,199,NULL,NULL,NULL
90,Urn,358,1,1,1,2021-05-07 17:51:30.440,199,NULL,NULL,NULL
91,Vacuum Cleaner,359,1,1,1,2021-05-07 17:51:53.383,199,NULL,NULL,NULL
