62,Coloured T/Ship,1,2017-07-02 14:47:13.000,1,NULL,NULL,62,NULL,NULL
63,Coloured T'Ship,1,2017-07-02 14:47:13.000,1,NULL,NULL,63,NULL,NULL
64,0,1,2017-07-02 14:47:13.000,1,NULL,NULL,64,NULL,NULL
65,Vat Number: 4720103177,1,2017-07-02 14:47:13.000,1,NULL,NULL,65,NULL,NULL
66,Central Hill,1,2017-07-02 14:47:13.000,1,NULL,NULL,66,NULL,NULL
67,Butterworth Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,67,NULL,NULL
68,Unknown,1,2017-07-02 14:47:13.000,1,NULL,NULL,68,NULL,NULL
69,Unknown,1,2017-07-02 14:47:13.000,1,NULL,NULL,69,NULL,NULL
70,Butterworth Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,70,NULL,NULL
71,Unknown,1,2017-07-02 14:47:13.000,1,NULL,NULL,71,NULL,NULL
72,Box 172,1,2017-07-02 14:47:13.000,1,NULL,NULL,72,NULL,NULL
73,Town Ccentral,1,2017-07-02 14:47:13.000,1,NULL,NULL,73,NULL,NULL
74,04 Scanlen Street,1,2017-07-02 14:47:13.000,1,NULL,NULL,74,NULL,NULL
75,Town Cntral,1,2017-07-02 14:47:13.000,1,NULL,NULL,75,NULL,NULL
76,Butterworth Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,76,NULL,NULL
77,Nahoon Valley,1,2017-07-02 14:47:13.000,1,NULL,NULL,77,NULL,NULL
78,Unknown,1,2017-07-02 14:47:13.000,1,NULL,NULL,78,NULL,NULL
79,Butterworth Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,79,NULL,NULL
80,King Street,1,2017-07-02 14:47:13.000,1,NULL,NULL,80,NULL,NULL
81,Butterworth Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,81,NULL,NULL
82,Mthatha St,1,2017-07-02 14:47:13.000,1,NULL,NULL,82,NULL,NULL
83,Mthatha Street,1,2017-07-02 14:47:13.000,1,NULL,NULL,83,NULL,NULL
84,0,1,2017-07-02 14:47:13.000,1,NULL,NULL,84,NULL,NULL
85,Nahoon,1,2017-07-02 14:47:13.000,1,NULL,NULL,85,NULL,NULL
86,King St,1,2017-07-02 14:47:13.000,1,NULL,NULL,86,NULL,NULL
87,Nahon Valley,1,2017-07-02 14:47:13.000,1,NULL,NULL,87,NULL,NULL
88,Unknown,1,2017-07-02 14:47:13.000,1,NULL,NULL,88,NULL,NULL
89,Academy Street,1,2017-07-02 14:47:13.000,1,NULL,NULL,89,NULL,NULL
90,.,1,2017-07-02 14:47:13.000,1,NULL,NULL,90,NULL,NULL
91,Fuller Street,1,2017-07-02 14:47:13.000,1,NULL,NULL,91,NULL,NULL
92,0,1,2017-07-02 14:47:13.000,1,NULL,NULL,92,NULL,NULL
93,Vat Number:4430216921,1,2017-07-02 14:47:13.000,1,NULL,NULL,93,NULL,NULL
94,Stanford St,1,2017-07-02 14:47:13.000,1,NULL,NULL,94,NULL,NULL
95,Butterworth Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,95,NULL,NULL
96,Town Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,96,NULL,NULL
97,Butterworth Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,97,NULL,NULL
98,Don Tompson,1,2017-07-02 14:47:13.000,1,NULL,NULL,98,NULL,NULL
99,Unknown,1,2017-07-02 14:47:13.000,1,NULL,NULL,99,NULL,NULL
100,Butterworth Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,100,NULL,NULL
101,Extension 7,1,2017-07-02 14:47:13.000,1,NULL,NULL,101,NULL,NULL
102,12 Old Hospital Road,1,2017-07-02 14:47:13.000,1,NULL,NULL,102,NULL,NULL
103,Souuthernwood,1,2017-07-02 14:47:13.000,1,NULL,NULL,103,NULL,NULL
104,Sothernwood,1,2017-07-02 14:47:13.000,1,NULL,NULL,104,NULL,NULL
105,Butterworth Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,105,NULL,NULL
106,Butterworth Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,106,NULL,NULL
107,Kentani Road,1,2017-07-02 14:47:13.000,1,NULL,NULL,107,NULL,NULL
108,Hintsa,1,2017-07-02 14:47:13.000,1,NULL,NULL,108,NULL,NULL
109,Hintsa Street,1,2017-07-02 14:47:13.000,1,NULL,NULL,109,NULL,NULL
110,New Brighton,1,2017-07-02 14:47:13.000,1,NULL,NULL,110,NULL,NULL
111,Gompo Garage,1,2017-07-02 14:47:13.000,1,NULL,NULL,111,NULL,NULL
112,Box 141,1,2017-07-02 14:47:13.000,1,NULL,NULL,112,NULL,NULL
113,Gugulethu,1,2017-07-02 14:47:13.000,1,NULL,NULL,113,NULL,NULL
114,Veldman Street,1,2017-07-02 14:47:13.000,1,NULL,NULL,114,NULL,NULL
115,Blue Water Bay,1,2017-07-02 14:47:13.000,1,NULL,NULL,115,NULL,NULL
116,Kentane,1,2017-07-02 14:47:13.000,1,NULL,NULL,116,NULL,NULL
117,Coloured Township,1,2017-07-02 14:47:13.000,1,NULL,NULL,117,NULL,NULL
118,Coloured Township,1,2017-07-02 14:47:13.000,1,NULL,NULL,118,NULL,NULL
119,Butterworth Central,1,2017-07-02 14:47:13.000,1,NULL,NULL,119,NULL,NULL
120,Ext 6,1,2017-07-02 14:47:13.000,1,NULL,NULL,120,NULL,NULL
121,Soutehrnwood,1,2017-07-02 14:47:13.000,1,NULL,NULL,121,NULL,NULL
122,Extension 5,1,2017-07-02 14:47:13.000,1,NULL,NULL,122,NULL,NULL
123,Extension,1,2017-07-02 14:47:13.000,1,NULL,NULL,123,NULL,NULL
124,Ext6,1,2017-07-02 14:47:13.000,1,NULL,NULL,124,NULL,NULL
125,P.O. Box 97,1,2017-07-02 14:47:13.000,1,NULL,NULL,125,NULL,NULL
126,Ries Avenue,1,2017-07-02 14:47:13.000,1,NULL,NULL,126,NULL,NULL
127,Extension 6,1,2017-07-02 14:47:13.000,1,NULL,NULL,127,NULL,NULL
128,Restom,1,2017-07-02 14:47:13.000,1,NULL,NULL,128,NULL,NULL
129,Restom Avenue,1,2017-07-02 14:47:13.000,1,NULL,NULL,129,NULL,NULL
130,Sunnighill,1,2017-07-02 14:47:13.000,1,NULL,NULL,130,NULL,NULL
131,Sinoville,1,2017-07-02 14:47:13.000,1,NULL,NULL,131,NULL,NULL
132,Unknown,1,2017-07-02 14:47:13.000,1,NULL,NULL,132,NULL,NULL
