ID,Filename,UserId,IsDonated,Activate_Validation,Processed,Date_Created,Job_Status,Date_Ran,No_RecordsInserted,No_RecodsNotValidating,Total_Records,ValidationError_Path,ServiceID,ProcessDate,RunID,ContractNumber
510,TakeOn additions for May.csv,196,1,1,0,2025-06-03 21:53:14.707,Completed Unsuccessfully! With Validation Error Log,NULL,0,62,220,Error_Job_510.csv,1,2025-06-03 21:53:37.127,NULL,
511,TakeOn additions for May.csv,196,1,1,0,2025-06-03 21:57:41.750,Completed Successfully!,NULL,0,0,220,NULL,1,2025-06-03 21:58:43.053,73,
512,TakeOn additions for May 2025 v3.csv,169,1,1,0,2025-06-04 12:06:46.137,Error Reading CSV File. File Not In Correct Format. Header with name `Cost of Addition` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-06-04 12:07:45.933,NULL,
513,TakeOn additions for May 2025 v3.csv,169,1,1,0,2025-06-04 12:15:27.350,Error Reading CSV File. File Not In Correct Format. Header with name `Cost of Addition` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-06-04 12:15:46.023,NULL,
514,TakeOn additions for May 2025 v3.csv,169,1,1,0,2025-06-04 12:19:05.163,Completed Unsuccessfully! With Validation Error Log,NULL,0,220,220,Error_Job_514.csv,1,2025-06-04 12:19:52.123,NULL,
515,TakeOn additions for May 2025 v3.csv,169,1,1,0,2025-06-04 12:25:13.180,Completed Successfully!,NULL,0,0,220,NULL,1,2025-06-04 12:25:56.937,74,
516,WIP TAKE ON-May.csv,238,2,1,0,2025-06-04 18:08:44.293,Completed Successfully!,NULL,0,0,6,NULL,1,2025-06-04 18:09:00.723,75,
517,WIP TAKE ON-May v0.1.csv,238,2,1,0,2025-06-08 16:19:08.710,Completed Unsuccessfully! With Validation Error Log,NULL,0,1,7,Error_Job_517.csv,1,2025-06-08 16:19:19.530,NULL,
518,WIP TAKE ON-May v0.2.csv,238,2,1,0,2025-06-08 18:59:14.870,Completed Successfully!,NULL,0,0,6,NULL,1,2025-06-08 18:59:21.610,76,
519,Intangible Assets May 2025.csv,607,1,1,0,2025-06-11 15:18:44.170,Completed Unsuccessfully! With Validation Error Log,NULL,0,2,2,Error_Job_519.csv,1,2025-06-11 15:19:39.340,NULL,
520,Intangible Assets May 2025.csv,607,1,1,0,2025-06-11 15:30:57.023,Completed Successfully!,NULL,0,0,2,NULL,1,2025-06-11 15:31:40.163,77,
521,TakeOn additions for June  2025.csv,607,1,1,0,2025-07-01 00:12:35.197,Completed Unsuccessfully! With Validation Error Log,NULL,0,10,10,Error_Job_521.csv,1,2025-07-01 00:13:28.883,NULL,
522,TakeOn additions for June  2025.csv,196,1,1,0,2025-07-01 08:41:12.413,Completed Unsuccessfully! With Validation Error Log,NULL,0,2,10,Error_Job_522.csv,1,2025-07-01 08:41:28.750,NULL,
523,TakeOn additions for June  2025.csv,196,1,1,0,2025-07-01 08:45:36.733,Completed Successfully!,NULL,0,0,10,NULL,1,2025-07-01 08:46:29.753,78,
524,WIP TAKE ON-June.csv,238,2,1,0,2025-07-04 11:47:41.480,Completed Successfully!,NULL,0,0,11,NULL,1,2025-07-04 11:48:29.787,79,
525,WIP TAKE ON-June v1.1.csv,238,2,1,0,2025-07-16 19:03:25.563,Error Reading CSV File. File Not In Correct Format. Header with name `RevaluationImpairmentOpeningBalance` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-07-16 19:03:43.040,NULL,
526,WIP TAKE ON-June v1.2.csv,238,2,1,0,2025-07-16 19:07:00.777,Error Reading CSV File. File Not In Correct Format. Header with name `RevaluationImpairmentOpeningBalance` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-07-16 19:07:43.093,NULL,
527,WIP TAKE ON-June v1.4.csv,238,2,1,0,2025-07-17 11:41:12.577,Completed Unsuccessfully! With Validation Error Log,NULL,0,21,21,Error_Job_527.csv,1,2025-07-17 11:41:25.463,NULL,
528,WIP TAKE ON-June v1.5.csv,238,2,1,0,2025-07-17 11:42:36.003,Completed Unsuccessfully! With Validation Error Log,NULL,0,4,21,Error_Job_528.csv,1,2025-07-17 11:43:26.067,NULL,
529,WIP TAKE ON-June v1.6.csv,238,2,1,0,2025-07-17 11:48:49.887,Completed Successfully!,NULL,0,0,18,NULL,1,2025-07-17 11:49:26.847,80,
530,WIP TAKE ON-June FINAL.csv,238,2,1,0,2025-07-17 16:39:34.513,Completed Successfully!,NULL,0,0,18,NULL,1,2025-07-17 16:40:31.410,81,
531,Bhisiniya AssetTakeOn LN.csv,196,5,1,0,2025-07-23 23:57:50.433,Error Reading CSV File. File Not In Correct Format. Header with name `RevaluationImpairmentOpeningBalance` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-07-23 23:58:27.247,NULL,
532,Bhisiniya AssetTakeOn LN.csv,196,5,1,0,2025-07-24 00:00:28.840,Completed Unsuccessfully! With Validation Error Log,NULL,0,151,151,Error_Job_532.csv,1,2025-07-24 00:01:31.070,NULL,
533,Bhisiniya AssetTakeOn LN.csv,196,5,1,0,2025-07-24 00:06:46.693,Completed Successfully!,NULL,0,0,151,NULL,1,2025-07-24 00:07:33.090,82,
534,Khobonqaba Takeon LN.csv,196,5,1,0,2025-07-24 00:29:56.420,Completed Unsuccessfully! With Validation Error Log,NULL,0,156,156,Error_Job_534.csv,1,2025-07-24 00:30:34.680,NULL,
535,Khobonqaba Takeon LN.csv,196,5,1,0,2025-07-24 00:42:29.570,Completed Successfully!,NULL,0,0,156,NULL,1,2025-07-24 00:42:36.400,83,
536,Paving of Msobomvu Internal Street-TakeOn LN.csv,196,5,1,0,2025-07-25 14:12:30.117,Completed Unsuccessfully! With Validation Error Log,NULL,0,39,39,Error_Job_536.csv,1,2025-07-25 14:12:32.330,NULL,
537,Paving of Msobomvu Internal Street-TakeOn LN.csv,196,5,1,0,2025-07-25 14:14:49.087,Completed Successfully!,NULL,0,0,39,NULL,1,2025-07-25 14:15:33.190,84,
538,WIP TAKE ON-June v1.7.csv,238,2,1,0,2025-07-27 19:24:42.473,Completed Unsuccessfully! With Validation Error Log,NULL,0,2,2,Error_Job_538.csv,1,2025-07-27 19:25:29.813,NULL,
539,WIP TAKE ON-June v1.8.csv,238,2,1,0,2025-07-27 19:27:19.203,Completed Successfully!,NULL,0,0,2,NULL,1,2025-07-27 19:27:30.417,85,
540,162 Streetlight at ext.7-takeon.csv,196,1,1,0,2025-08-01 21:16:23.930,Error Reading CSV File. File Not In Correct Format. Header with name `Carrying Amount` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-08-01 21:17:21.773,NULL,
541,162 Streetlight at ext.7-takeon.csv,271,2,1,0,2025-08-01 21:35:22.287,Error Reading CSV File. File Not In Correct Format. Header with name `Carrying Amount` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-08-01 21:36:21.993,NULL,
542,162 Streetlight at ext.7-takeon.csv,271,2,1,0,2025-08-01 21:40:06.730,Completed Unsuccessfully! With Validation Error Log,NULL,0,122,122,Error_Job_542.csv,1,2025-08-01 21:40:23.603,NULL,
543,162 Streetlight at ext.7-takeon.csv,271,2,1,0,2025-08-01 21:49:38.053,Completed Unsuccessfully! With Validation Error Log,NULL,0,92,122,Error_Job_543.csv,1,2025-08-01 21:50:25.647,NULL,
544,162 Streetlight at ext.7-takeon.csv,271,2,1,0,2025-08-01 21:52:47.203,Completed Unsuccessfully! With Validation Error Log,NULL,0,92,122,Error_Job_544.csv,1,2025-08-01 21:53:26.983,NULL,
545,162 Streetlight at ext.7-takeon.csv,271,2,1,0,2025-08-01 21:56:29.700,Completed Successfully!,NULL,0,0,122,NULL,1,2025-08-01 21:57:28.507,86,
546,Bhisiniya AssetTakeOn LN.csv,238,2,1,0,2025-08-03 11:49:05.007,Error Reading CSV File. File Not In Correct Format. Header with name `RevaluationImpairmentOpeningBalance` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-08-03 11:49:22.023,NULL,
547,Bhisiniya AssetTakeOn LN.csv,238,2,1,0,2025-08-03 11:56:25.887,Completed Successfully!,NULL,0,0,151,NULL,1,2025-08-03 11:57:25.160,87,
548,Upgrading of Mchubakazi-Takeon LN.csv,196,2,1,0,2025-08-03 11:57:39.387,Error Reading CSV File. File Not In Correct Format. Header with name `Funding Source Amount` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-08-03 11:58:25.177,NULL,
549,Emalongweni AR - Takeon LN.csv,238,2,1,0,2025-08-03 12:01:06.860,Completed Unsuccessfully! With Validation Error Log,NULL,0,72,72,Error_Job_549.csv,1,2025-08-03 12:01:26.047,NULL,
550,Upgrading of Mchubakazi-Takeon LN.csv,196,2,1,0,2025-08-03 12:01:07.990,Completed Unsuccessfully! With Validation Error Log,NULL,0,151,151,Error_Job_550.csv,1,2025-08-03 12:01:27.887,NULL,
551,Upgrading of Mchubakazi-Takeon LN.csv,196,2,1,0,2025-08-03 12:03:38.440,Completed Unsuccessfully! With Validation Error Log,NULL,0,151,151,Error_Job_551.csv,1,2025-08-03 12:04:29.720,NULL,
552,Emalongweni AR - Takeon LN.csv,238,2,1,0,2025-08-03 12:05:33.293,Completed Successfully!,NULL,0,0,72,NULL,1,2025-08-03 12:06:30.930,88,
553,Upgrading of Mchubakazi-Takeon LN.csv,196,2,1,0,2025-08-03 12:06:48.073,Completed Unsuccessfully! With Validation Error Log,NULL,0,10,151,Error_Job_553.csv,1,2025-08-03 12:07:32.440,NULL,
554,Gcisininde AR TakeOn LN.csv,238,2,1,0,2025-08-03 12:12:38.403,Completed Unsuccessfully! With Validation Error Log,NULL,0,87,87,Error_Job_554.csv,1,2025-08-03 12:13:33.900,NULL,
555,Upgrading of Mchubakazi-Takeon LN.csv,196,2,1,0,2025-08-03 12:14:38.823,Completed Successfully!,NULL,0,0,151,NULL,1,2025-08-03 12:15:35.543,89,
556,Gcisininde AR TakeOn LN.csv,238,2,1,0,2025-08-03 12:15:15.393,Completed Successfully!,NULL,0,0,87,NULL,1,2025-08-03 12:15:36.613,90,
557,Khobonqaba Takeon LN.csv,238,2,1,0,2025-08-03 12:20:15.067,Completed Unsuccessfully! With Validation Error Log,NULL,0,156,156,Error_Job_557.csv,1,2025-08-03 12:20:38.163,NULL,
558,Khobonqaba Takeon LN.csv,238,2,1,0,2025-08-03 12:23:02.700,Completed Successfully!,NULL,0,0,156,NULL,1,2025-08-03 12:23:39.653,91,
559,Paving of IBika Taxi Route LN.csv,238,2,1,0,2025-08-03 12:28:11.140,Error Reading CSV File. File Not In Correct Format. Header with name `Funding Source Amount` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-08-03 12:28:39.727,NULL,
560,Paving of IBika Taxi Route LN.csv,238,2,1,0,2025-08-03 12:32:06.197,Error Reading CSV File. File Not In Correct Format. Header with name `Funding Source Amount` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-08-03 12:32:39.773,NULL,
561,Paving of IBika Taxi Route LN csv.csv,238,2,1,0,2025-08-03 12:37:36.883,Completed Unsuccessfully! With Validation Error Log,NULL,0,22,22,Error_Job_561.csv,1,2025-08-03 12:37:40.260,NULL,
562,Paving of Msobomvu Internal Street-TakeOn LN.csv,238,2,1,0,2025-08-03 12:45:44.997,Completed Successfully!,NULL,0,0,39,NULL,1,2025-08-03 12:46:40.977,92,
563,Paving of IBika Taxi Route LN.csv,196,2,1,0,2025-08-03 15:50:51.337,Completed Successfully!,NULL,0,0,22,NULL,1,2025-08-03 15:51:43.330,93,
564,Regraveling of Booi Farm MK.csv,238,2,1,0,2025-08-04 10:42:12.290,Error Reading CSV File. File Not In Correct Format. Header with name `Funding Source Amount` was not found. If you are expecting some headers to be missing and want to ignore this validation  set the configuration HeaderValidated to null. You can also change the functionality to do something else  like logging the issue.,NULL,0,0,0,NULL,1,2025-08-04 10:42:21.267,NULL,
565,Fencing of SMME inno hub-Takeon LN.csv,238,2,1,0,2025-08-04 10:59:41.830,Completed Unsuccessfully! With Validation Error Log,NULL,0,4,4,Error_Job_565.csv,1,2025-08-04 11:00:21.983,NULL,
566,Fencing of SMME inno hub-Takeon LN.csv,238,2,1,0,2025-08-04 11:09:24.923,Completed Unsuccessfully! With Validation Error Log,NULL,0,4,4,Error_Job_566.csv,1,2025-08-04 11:10:22.573,NULL,
567,Fencing of SMME inno hub-Takeon LN.csv,238,2,1,0,2025-08-04 11:17:07.660,Completed Successfully!,NULL,0,0,4,NULL,1,2025-08-04 11:17:23.180,94,
