AssetCIDMSComponentTypeID,AssetCIDMSComponentTypeDesc,AssetCIDMSAssetTypeID,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Default
80,Gasometer,56,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
81,Gasometer,299,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
82,Gearbox,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
83,Generator,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
84,Generator,333,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
85,Generator breaker,333,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
86,Generator busbar,333,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
87,Generator transformer,333,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
88,GIS busbar,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
89,GIS switchgear,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
90," lf course",329,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
91,Grid inlet,77,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
92,Guard rail,309,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
93,Heat exchanger,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
94,High mast light,301,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
95,HV busbar indoor,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
96,HV busbar outdoor,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
97,HV cables,141,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
98,HV circuit breaker,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
99,HV earth switch,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
100,HV isolator,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
101,HV overhead line conductor,142,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
102,HV overhead line support structure,142,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
103,"HV transformer compact unit circuit breaker, isolator and current",143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
104,HV transformers,146,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
105,Hydrant,282,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
106,Irrigation,123,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
107,Irrigation,307,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
108,Jukskei court,329,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
109,Kerb,77,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
110,Kerb inlet,77,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
111,Land,149,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
112,Landfill restoration,300,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
113,Landscaping,123,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
114,Landscaping,307,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
115,Lifts,4,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
116,Lightning mast and shield wiring,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
117,Lining – landfill,21,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
118,Load control set,236,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
119,LV cable,172,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
120,LV cable,214,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
121,LV circuit breaker,103,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
122,LV circuit breaker,214,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
123,LV kiosk,214,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
124,LV overhead line,172,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
125,LV overhead line,214,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
126,LV pole top box,214,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
127,Masonry structure,21,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
128,Mini roundabout,309,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
129,Motor,103,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
130,Multiplexer,50,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
131,MV cable,217,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
132,MV circuit breaker,236,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
133,MV circuit breaker,243,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
134,MV earth switch,236,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
135,MV isolator,236,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
136,MV isolator,243,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
137,MV overhead line,217,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
138,"MV transformer compact unit circuit breaker, isolator and current",236,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
139,MV transformers,224,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
140,MV transformers,250,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
141,Network control kiosk,50,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
142,Oil burner,3,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
143,PABX,50,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
144,Paving,123,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
145,Paving,307,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
146,Paving,309,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
147,Pedestrian bridge railing,277,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
148,Pedestrian bridge substructure,277,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
149,Pedestrian bridge superstructure,277,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
150,Perimeter protection,123,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
151,Perimeter protection,307,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
152,Pipe - fuel,282,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
153,Pipe - gas,4,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
154,Pipe - gas,282,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
155,Pipe - sewer,214,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
156,Pipe - sewer,282,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
157,Pipe - sewer,311,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
158,Pipe - sewer,314,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
159,Pipe - steam,282,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
160,Pipe - storm water,282,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
161,Pipe - water,214,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
162,Pipe - water,282,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
163,Pipe - water,311,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
164,Pipe - water,314,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
165,Pipe bridge abutment,279,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
166,Pipe bridge railing,279,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
167,Pipe bridge substructure,279,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
168,Pipe bridge superstructure,279,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
169,Plumbing,4,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
170,Points (rail),306,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
171,Precipitator,103,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
172,Prepaid electricity meter,122,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
173,Pressure vessel,194,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
174,Process instrumentation,56,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
175,Pulveriser,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
176,Pump - hand,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
177,Pump - sewer,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
178,Pump - submersible,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
179,Pump - water,182,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
180,Radio infrastructure,50,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
181,Rail bridge abutments,305,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
182,Rail bridge side barrier,305,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
183,Rail bridge substructure,305,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
184,Rail bridge superstructure,305,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
185,Rail lines,306,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
186,Rail reserve,149,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
187,RC structure,4,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
188,RC structure,21,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
189,Reactor,103,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
190,Reactor,143,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
191,Reactor,234,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
192,Reactor,236,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
193,Reheater,3,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
194,Retaining wall,21,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
195,Ring main unit,224,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
196,Ring main unit,234,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
197,Ring main unit,236,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
198,Ring main unit,243,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
199,Road bridge abutment,308,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
200,Road bridge side barrier,308,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
201,Road bridge substructure,308,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
202,Road bridge superstructure,308,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
203,Road reserve,149,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
204,Road structural layer,261,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
205,Road surface,261,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
206,Roof,4,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
207,Router,50,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
208,SCADA,56,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
209,SCADA,299,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
210,Sectionaliser,234,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
211,Security system,4,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
212,Septic tank,4,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
213,Septic tank,48,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
214,Server,50,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
215,Sewerage servitude,327,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
216,Sign - general,123,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
217,Sign - general,307,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
218,Sign - general,309,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
219,Sign - regulatory,309,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
220,Signalling (trains),307,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
221,Small building/enclosure,4,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
222,Small building/enclosure,48,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
223,Small building/enclosure,123,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
224,Small building/enclosure,307,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
225,Spectator stand,329,1,2020-01-28 15:35:10.513,1,NULL,NULL,1
